Event,Key,Team Number,Search Qualifier ,Team Name,Photo,Drive Train,One Word,Pit Scouting Notes,Average Score,Average Score Percentile,Percent of Alliance Score,Average Game Pieces Scored,Average Cones Scored,Average Cubes Scored,Average Auto Game Pieces Scored,Average Auto Cone Score,Average Auto Cube Score,Average Auto Cones ,Average Auto Cubes,Average Tele Game Pieces Scored,Average Tele Cone Score,Average tele Cube Score,Average Tele Cones,Average Tele Cubes,Mobility Percentage ,Auto Engaged Percentage ,Average Auto Score,Average Tele Score,Average Endgame Score,Total Whiffs auto,Total Docks Auto,Total Engages Auto,Total Whiffs Teleop,Total Parks Teleop,Total Docks Telop,Total Engages Teleop,Cycle Time,Preload Type,Cone/Cube Prefrence ,Buddy Climb,Focus Areas,Average Links,Avg total charge,Avg Auto Charge,Avg Tele Charge,Avg Rank Points,Calculated Average Score,Width,Mark
2023micmp2,frc85,85,2023micmp2-85,B.O.B. (Built on Brains),Pit Scouting_Images/b7853da2.Picture.165132.jpg,Swerve,adaptable,,50.39,0.90,35.38%,5.67,3.67,2.00,1.00,0.67,5.00,0.17,0.83,4.67,14.5,4.58,3.5,1.17,91.67%,50.00%,21.36,19.08,7.33,5,1,6,0,3,2,7,28.91s,No Preference ,Cube,,,1.81,7.00,6.666666667,7.3,2.67,50.53,25.00,
2023micmp2,frc857,857,2023micmp2-857,Superior Roboworks,Pit Scouting_Images/59b2ad53.Picture.162523.jpg,Swerve,Sturdy,None,48.67,0.67,37.68%,6.77,4.23,2.54,1.54,6.00,3.00,1.00,0.54,5.23,12.85,6.31,3.23,2,92.31%,15.00%,19.67,19.15,7.08,10,1,2,1,2,3,7,25.81s,Cone,Neither,,,1.64,4.77,2.461538462,7.1,2.62,48.67,27.00,
2023micmp2,frc9215,9215,2023micmp2-9215,T-Town Tech,Pit Scouting_Images/0b44eae3.Picture.201534.jpg,Tank,Bart,Can balence good,27.78,0.13,24.19%,3.92,0.00,3.92,1.00,0.00,5.83,0.00,1.00,2.92,0,6,0,2.92,100.00%,0.00%,12.78,6,6,12,0,0,2,3,1,6,46.23s,Cube,Cone ,,,1.39,3.00,0,6.0,2.08,27.78,28.00,
2022cmptx,frc1323,1323,2022cmptx-1323,MadTown Robotics,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1511,1511,2022cmptx-1511,Rolling Thunder,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1577,1577,2022cmptx-1577,Steampunk,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1619,1619,2022cmptx-1619,Up-A-Creek Robotics,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1629,1629,2022cmptx-1629,Garrett Coalition (GaCo),,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1678,1678,2022cmptx-1678,Citrus Circuits,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1706,1706,2022cmptx-1706,Ratchet Rockers,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1730,1730,2022cmptx-1730,Team Driven,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc1967,1967,2022cmptx-1967,The Janksters,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2129,2129,2022cmptx-2129,Ultraviolet,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2383,2383,2022cmptx-2383,Ninjineers,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2438,2438,2022cmptx-2438,'Iobotics,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2468,2468,2022cmptx-2468,Team Appreciate,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2471,2471,2022cmptx-2471,Team Mean Machine,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2486,2486,2022cmptx-2486,CocoNuts,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc2539,2539,2022cmptx-2539,Krypton Cougars,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc254,254,2022cmptx-254,The Cheesy Poofs,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
